id,text_nps
270,Jsem spokojen s bankou
271,Dobry den
272,Jsem se službami spokojený.
273,Nejhorší personal v kb Krakov 
274,protože jste kokoti
275,jsem spokojen
276,Neváží si moc stálých klientů
277,Mám ještě účet u Monety a tak
278,Jsem s bankou spokojena. 
279,dlouholete sluzby
280,Pokud banku budou tvorit lide jako muj bankovni poradce
281,Perfektní služby a výborný poradce pan Wudy. 
282,Rychle jednání když něco potrebuji
283,Stále mám účet zatížen poplatky
284,Příjemný
285,při placení kartou nepoznám v internetovém bankovnictví kdy se mi částka odečetla a kolik mám skutečný stav na učtu.někdy se částka ukáže se zpožděním a já tak musím čekat několik dní na skutečný stav.jediné řešení je sjet si do bankomatu a to je docela zdržení když k němu nemusím. a chci zažádat o snížení úroků na hypotéce ale nejsem si jist zda-li mi to banka uskuteční když jsem u posledního sezení slyšel samé ale.nevadí mi že budu platit víc bance jen chci snížit úroky.
286,jsem spokojen dostupná síť bankomatů a poboček
287,"Na pobočce v Dejvické ulici v Praze je minimální vstřícnost ke klientům - při příchodu čekám dlouho než si mne někdo všimne - vyzve mne k jednání, ač očividně je jasné, že pracovnice banky si mne při příchodu vnímali (musí asi nejprve dokončit práci, což částečně chápu nebo si většinou vše 'důležité' sdělit. V neposlední řadě, absolutně urážející výše úroku z vkladu …. Je mou povinností také zmínit, že se jistě nejedná o standard v chování zaměstnanců u všech poboček (Na Poříčí spokojenost). AB.  "
288,Chybějící produkt pro zhodnocení volných finančních prostředků konzervativní formou. U stávajících produktů jsou proti konkurenci nesrovnatelně nižší úrokové sazby.
289,10
290,Nespokojená ze službami a na pobočce ze zaměstnanci. 
291,Jsem spokojen
292,nízké úrokové míry na spořících účtech
293,"předpotopní bezpečnostní přihlašování přes 3 bezpečnostní prvky - což nedokáže jeden spolehlivě chránit jako u jiných bank (předpotopním myslím certifikát a ověřovací sms), neskutečně zdržuje každou transakci, odhodlání pouštět se do e-bankovnictví stojí čas.  neflexibilní půjčky (přestože mám u KB domicialitu přes 30let, nedala mi KB půjčku, pomohla mi jíná banka, a za nižší úrok. Předražené služby (srovnání s airbank např.) Vysoké úroky. "
294,Běžné bankovnictví je za 10
295,KB neni schopna prijmout dokumenty v anglictine
296,některé služby jsou drahé
297,Je vse velmi komplikovane a platím poplatky za vedení uctů
298,"e-mailová komunikace je skvělá,jen uvedení šetřete lesy ale musíte stejně vytisknout a podepsat a doručit papír na pobočku,je to tak trochu prkotina,ale... ;-)"
299,Nejlepší spolupráce s bankou a poradcem.
300,Celková spokojenost 
301,Celková spokojenost
302,Nejhorší nejdražší banka
303,Vse funguje jak ma
304,1. u nás byla zrušena pokladna 2. nízké ( téměř žádné ) úroky
305,Jsem maximalne spokojeny.
306,Kvalita sluzeb
307,7 hodnotenie je pre mňa dostatočne 
308,jsem velmi spokojená
309,Jste nejlepší 
310,Poplatky
311,Chybné informace při zakládání stavebního spoření
312,Jsem spokojen
313,Velice milé  ochotné paní na pobočce. 
314,Jsem velice spokojen 
315,Jsem u KB téměř dvacet let a tak dovedu poznat a posoudit jestli je vše u KB dobré a vylepšuje se. 
316,Nejsme dodnes žádná odpověď ohledně fixace. MOUDRIK 
317,Platím za účet. 
318,Na pobočce v Hustopečích mi vždy vyjdou vstříc
319,Moc těžké podmínky k dostání větší půjčky. 
320,Drahé služby. Věčné doprošování se a žádání o slevy za vedení účtu i přes velké objemy peněz co jdou na účet.
321,Poradci na pobočkách vždy pomůžou !
322,žádnej problém
323,Funguje jak potřebuji. Nabízí nízký úrok na spořícím účtu.
324,Poplatky
325,Spokojen velmi s  pracovníkama kb Děčín 
326,S KB jsem spokojený
327,dostatek informací stálý přehled o stavu účtu díky sms zprávám a přístupu z telefonu vlastní poradce - vstřícná a ochotná žena přehledná aplikace
328,Jsem spokojen
329,Jsem spokojen s produkty
330,Ochota
331,Některé poplatky za provedené platby. 
332,Jsem velmi spokojen
333,V místě mého bydliště se ruší pobočka
334,Profesionální služby i přístup 
335,zbytečně komplikované cokoliv uzavírat
336,moje potreby zajistuji
337,vše v pořádku
338,Naše nejbližší pobočka má být zrušena
339,jsem spokojen
340,Jsem spokojená se všemi nabízenými službami
341,"Se službami KB jsem spokojen. Pracovníci pobočky i regionální specialisté naplňují má očekávání z hlediska kvalifikace, profesionálního vystupování i vstřícnosti. Hodnocení o jedno nižší, než maximum … vždycky je co zlepšovat. "
342,Vubec nejsem spokojena s vasimi sluzbami. Vsechno je spatne. Az doplatim hypoteku
343,Dobrá komunikace vstřícnost dobře zvýhodněné ůčty 
344,Protože na malých městech konzultantni nemají absolutně žádné produktové znalosti
345,Se službami KB jsem po dlouhá léta velice spokojena
346,Půl napůl... 
347,Osobní přístup rychlé jednání příjemné vystupování
348,"Potřebovala jsem pomoci vyřešit problém či poradit, vždy jste byli velmi ochotní a nápomocní. Také velmi chválím přátelský přístup pracovnic v kamen.pobočce v Přešticích, zvláště paní ředitelka je výborná."
349,Jednám stále se stejnou pracovnicí ( pí. Rychtaříkovou ) která je vždy příjemná
350,uložené peníze se úročí minimálně nelíbí se mi nově udělané int.bankovnictví a s jeho přechodem byl problém
351,Celkove jsem spokojena
352,občas se nemohu přihlásit- jako když je zahlcený web
353,Protože jsem klientkou od roku 1991 a nikdy jsem neměla žádné problémy. Vždy mi byly mé dotazy zodpovězeny a byly mi dány rady
354,Banka se stará o moje finance
355,kdyz jsem potreboval odlozit jednu splatku pujcky po 10  letech  jsem nepochodil ani jednou mi neprisla upominka ze jsem neco nezaplatil  naschledanou pan rybysar
356,Vstřícný přístup ke klientovi v rámci daných možností
357,Kvalita 
358,Myslím
359,Přehlednost stránek 
360,Platí se a někteří zaměstnanci na pobočce
361,Vždy jsem byla vzorně obsloužena
362,"Myslím si, že je ještě co zlepšovat. Konkurence se snaží mnohem víc. Má lepší půjčky i výběry ze všech bankomatů zdarma. Příští rok budu přemýšlet o změně banky. Na shledanou Jan Staněk"
363,Dobrý den.U KB jsem spoustu let a vždy jsem našel pochopení kdykoli jsem cokoli potřeboval od moji bankovní poradkyně p.Jindrové. S pozdravem M.Kulhavý
364,Dobrý den.  Jsem spokojená s vyřizováním různých záležitostí na bance. S vstřícností a jednáním bankovních poradců. S pozdravem a přáním hezkého dne  Renata Jelínková
365,Jsem u KB léta
366,Spolehlivost
367,Jsem se službami spokojená
368,Jsem dlouholetým spokojeným klientem KB
369,Složitý přístup na internetové bankovnictví
370,Byl mi změnen bankovní poradce bez mého vědomí a centralni komunikace je opravdu neosobni a mimo!
371,Příjemné 
372,vstřícnost
373,Je velké množství bankovních ústavů a mnoho benefitů
374,Jsem s touto bankou spokojená už řadu let. Každý můj problém nebo dotaz řeší pracovnice banky ochotně a přívětivě
375,Vždy se všemi službami naprosto spokojen
376,Nespokojenost se zaměstnanci na pobočce
377,Poplatky za vedeni účtu. Při vyberu z bankomatu malá nabídka výběru částek.
378,Příjemný přístup zaměstnanců.
379,Za 14 let uctu vedeneho u KB jsem nezaznamenala zadnou vyhodu jako dlouholety klient. V pristim roce planuji tento ucet zrusit a ponecham si pouze ty vedene u konkurence
380,Myslím
381,Jsem spokojený se službami na přepážce i s internetovým bankovnictví. Nový způsob zabezpeční internetového bankovnictví se mě také líbí.
382,Jsem se službami i institucí spokojená
383,Při každé návštěvě pobočky ve Vodňanech jsem byl spokojen jak s přístupem zaměstnanců
384,Jsem převážně spokojena se službami KB.
385,Spokojenost s pracovníky KB i s činnostmi týkající se  spravování mého účtu u KB.
