id,text_nps,
288,Špatně internetové bankovnictví a strhávání plateb není vidět pravdivá částka o zůstatku včetně uskutečněných plateb. Pak se člověk dostane do nepovoleného severu a následně do registru.,
289,Nic moc služby,
290,Neni možnost výběru  bankovek v bankomatu,
291,Jsem spokojena proto doporučuji,
292,Jsem absolutne spokojen se vsemi vasimi sluzbami,
293,Napr. dlouha doba cekani na setkani s bankerem na pobocce,
294,zůstávám jen proto,
295,myslím si,
296,Protože jsem spokojen s kvalitou služeb a spolehlivostí systému.,
297,Když mám různé dotazy,
298,Žádný problém,
299,Se službami KB jsem spokojena. Jednání s referenty je bez problémů jsou vstřícní a sympatičtí. Pro moje potřeby které v manipulaci se svými částkami na účtu provádím - vyhovujicí.,
300,Perfektní služby na přepážce banky,
301,přehledné internetové bankovnictví,
302,Ochota,
303,Shrnutí zkušeností z komunikace na přepážce a internetového bankovnictví,
304,Jsem naprosto spokojen,
305,Jsem spokojený po všech stránkách se službami KB,
306,Měl by být zrušen poplatek za vedení účtu ,
307,Péče o zákazníka,
308,"Odchozí úhrada - 60 kč Odchozí úhrada, změna trvalyho příkazu - 49 kč Nelíbí se mito...",
309,Včasné info o produktu,
310,Vše je ok,
311,Ochota,
312,spolehlivost,
313,Vždy velká spokojenost.,
314,Mám účet u KB cca 27 let. Podnikám v zemědělství od roku 1992 a od roku 2008 má  KB i můj syn. Díky personálnímu OBSAZENÍ pobočky v Pelhřimově jsme banku neměnili. Ale silně o tom nyní uvažuji z těchto důvodů. Platí se snad úplně za všechno a úrok na revolvingu 8 % mi připadá oproti nabízejícím ústavům dost. Nemluvě o převodu EUR na Kč. Zdá se mi divné ,
315,Ne příliš přehledne bankovnictví. Výběry z cizích bankomatu jsou zpoplatněny. Výběry z bankomatu KB zdarma pouze pokus se platí kartou. ,
316,nemame zadne potize a personal je velice prijemny.,
317,Vždy byli pracovníci velmi ochotní a pomohli mi vyřešit problémy.,
318,Perfektní kolektiv který vždy poradí a pomůže ,
319,Jsem spokojen,
320,nejsem spokojen s pristupem na osobni ucet.,
321,Vždy nám vyšli vstříc,
322,Dobré jednání se zaměstnanci KB. ,
323,Jsem s bankou spokojena,
324,Naprostá spokojenost. ,
325,Kvalitní služby,
326,POPLATKY ZA VEDENÍ ÚČTU,
327,nikdy jsem neměla žádný problém vždy mi bankovní poradce vyšel vstříc,
328,Jsem vždy spokojen,
329,Ochota,
330,Jsem u KB od roku 1992 ! A spokojený...,
331,vše probíhá jak má - jen investice je po 14-ti lletech na zhodncení na jednom procentu :-(,
332,pretože som bol presvedčený na nové zložité systémy prihlásenia a uvítal by som jednoduchosť na potvrdzujúcu SMS cez obyčajný mobil. Som dôchodca smartfon používam len ako mobil. Ďakujem,
333,Jsou lepší BANKY!!!,
334,Nemam s Kb žádné problémy.,
335,jen tak ,
336,Protože jsem spokojená,
337,Často se měnící personal.,
338,vysoké a často nesmyslné poplatky, vysoká částka za výběr z jiných bankomatů
339,Mám dobrého poradce,
340,Jsem u vás snad 20 let a jsem spokojen,
341,Pro dobré jednáni s klienty děkujeme     ,
342,Vadí mě podmínka účtu u kb,
343,Kompetentni bankerka,
344,Zatím spokojenost,
345,nemám žádné výtky,
346,Úročení vkladů je nulové.,
347,velice profesní přístup k zákazníkum,
348,......v roce 2019 maximální vstřícnost k mým přáním....PF 2020,
349,Dobrá informovanost,
350,Zatím spokojenost se vším,
351,Velice špatný přístup vedoucí pobočky k zákazníkovi.,
352,Jsem dlouholetá klientka KB a vždy jsem byla spokojená se službami,
353,Aby ostal priestor na zlepšovanie!,
354,pracovnice KB mi velmi trpělivě a důkladně vysvětlila a pomohla. Bohužel nás mnoho seniorů nerozumí výrazům,
355,.....bezproblémová komunikace,
356,proste jsem spokojen,
357,Výběr z bankomatů by mohl být neomezený,
358,Jsem velmi spokojena,
359,Dobrý den,
360,Jsem spokojená naprosto se vším ,
361,spolehlivost,
362,Jsem spokojena se vším ?,
363,U KB JSEM UŽ DLOUHO A PŘI KAŽDÉ NÁVŠTĚVĚ,
364,v této bance jsem neměla nikdy žádné problémy,
365,Nelibi se mi,
366,zatím jsem byla vždy spokojená,
367,Lichváři zlodějský,
368,Mam vyhrady vuci nekterym poplatkum ,
369,vždy jsem se dověděla,
370,Nazdar,
371,Jsem spokojená se službami.,
372,Myslím ,
373,Dobré služby a přístup pracovníků banky.,
374,Komunikace i internetové bankovnictví fungují naprosto hladce. I-banking je navíc intuitivní a dobře se ovládá. Bonus jsou milé e-maily například na narozeniny. Nemám,
375,Nikdy jsem neměl žádný problém s jakoukoliv domluvou,
376,spokojenost od roku 1989 ,
377,"Jsem spokojen, ale jsou zde rezervy co vylepšovat.Dekuji ",
378,Velice ochotní a příjemní lidé - pobočka Žďár nad Sázavou,
379,Nejsem spokojená.,
380,8 je vysoké hodnocení ale vždy je co zlepšovat a ještě rušíte nám tady pobočku banky což vám na hodnocení nepřidá spíše příjdete o klienty  a nemyslím tím sebe ale zvažuji to taky.,
381,Jsem spokojen s ochotou a vstřícností pracovníků banky,
382,Na 95% ,
383,Maximální dlouholetá spokojenost s personálem,
384,Desítku nedám,
385,Pomerne vysoké poplatky,
386,jsem spokojená,
387,jsem již spoustu let klientem KB a se službami jsem spokojena,
388,Jsem spokojen. ,
389,Vždy pomohla a vyšla vstříc.,
390,Spolehlivost,
391,Pěkný přístup,
